City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Chuy,-33.6971,-53.4616,64.83,73,94,2.66,UY,2022-06-05 18:16:12
68,Ullapool,57.8987,-5.1604,65.35,62,53,3.29,GB,2022-06-05 18:16:13
69,Jamestown,42.097,-79.2353,74.01,27,0,11.99,US,2022-06-05 18:14:37
70,Marsh Harbour,26.5412,-77.0636,80.15,70,20,13.06,BS,2022-06-05 18:16:13
71,Llandrindod Wells,52.2416,-3.3787,50.94,96,100,4.41,GB,2022-06-05 18:16:13
72,Tuktoyaktuk,69.4541,-133.0374,24.8,86,100,4.61,CA,2022-06-05 18:16:14
73,Bengkulu,-3.8004,102.2655,76.51,86,100,4.41,ID,2022-06-05 18:16:14
74,Stejaru,44.7667,28.55,71.87,79,92,0.85,RO,2022-06-05 18:16:14
75,Trairi,-3.2778,-39.2689,81.28,79,18,9.66,BR,2022-06-05 18:14:58
76,Sitka,57.0531,-135.33,57.09,72,75,4.61,US,2022-06-05 18:16:15
77,Busselton,-33.65,115.3333,55.62,76,100,8.84,AU,2022-06-05 18:16:15
78,El Cobre,20.0489,-75.9469,83.64,84,40,9.22,CU,2022-06-05 18:16:16
79,Port Hedland,-20.3167,118.5667,64.45,68,2,5.75,AU,2022-06-05 18:16:16
80,Muros,42.7762,-9.0603,68.09,69,99,7.47,ES,2022-06-05 18:16:17
81,La Ronge,55.1001,-105.2842,55.62,47,20,13.8,CA,2022-06-05 18:16:17
82,Khani,41.9563,42.9566,62.17,95,75,1.59,GE,2022-06-05 18:16:17
83,Renqiu,38.6989,116.0936,73.11,33,7,13.18,CN,2022-06-05 18:16:18
84,Balabac,7.9868,117.0645,82.0,76,91,2.84,PH,2022-06-05 18:16:18
85,Whitianga,-36.8333,175.7,59.22,83,100,6.4,NZ,2022-06-05 18:12:15
86,Odweyne,9.4092,45.064,80.82,42,98,6.6,SO,2022-06-05 18:16:21
87,Yellowknife,62.456,-114.3525,64.47,38,100,15.28,CA,2022-06-05 18:13:05
88,Ust-Omchug,61.15,149.6333,52.54,71,48,2.17,RU,2022-06-05 18:16:21
89,Christchurch,-43.5333,172.6333,54.91,86,75,9.22,NZ,2022-06-05 18:15:00
90,Saquarema,-22.92,-42.5103,73.54,61,48,11.99,BR,2022-06-05 18:16:22
91,Husavik,66.0449,-17.3389,45.54,65,76,19.06,IS,2022-06-05 18:17:22
92,Constitucion,-35.3333,-72.4167,56.44,81,91,12.64,CL,2022-06-05 18:17:22
93,Inhambane,-23.865,35.3833,71.58,64,20,6.91,MZ,2022-06-05 18:17:23
94,Fortuna,40.5982,-124.1573,62.35,90,96,5.44,US,2022-06-05 18:17:23
95,Mahebourg,-20.4081,57.7,73.26,83,75,12.66,MU,2022-06-05 18:17:23
