City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
251,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
255,Bubaque,GW,80.65,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
256,West Wendover,US,78.01,scattered clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
257,Boueni,YT,80.58,light rain,-12.9025,45.0761,The feet in water
258,Biak,ID,77.67,broken clouds,-0.9131,122.8766,Penginapan Kim
263,Buchanan,LR,78.58,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
267,Waingapu,ID,78.06,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
272,Touros,BR,78.19,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
274,Bethel,US,76.06,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
275,Yuncheng,CN,77.43,broken clouds,35.0231,110.9928,晋州快捷酒店
287,Matara,LK,76.32,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
290,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
295,Porto Walter,BR,79.43,broken clouds,-8.2686,-72.7439,Secretaria de saúde
296,Bud,US,83.05,broken clouds,39.447,-86.1758,Ted McQuinn Trust
297,San Miguelito,PA,82.67,scattered clouds,9.0333,-79.5,Sheraton Grand Panama
301,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
303,Bodden Town,KY,87.01,few clouds,19.2833,-81.25,Will T Place
309,Humaita,BR,80.02,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
313,Sur,OM,85.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
316,Avera,US,85.55,broken clouds,33.194,-82.5271,
319,Bourail,NC,77.27,clear sky,-21.5667,165.4833,Motel Allamanda
321,Manokwari,ID,80.42,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
326,Port Blair,IN,78.55,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
328,Trincomalee,LK,80.35,overcast clouds,8.5711,81.2335,Welcombe Hotel
333,Hammond,US,77.23,clear sky,41.5834,-87.5,"Courtyard by Marriott Chicago Southeast/Hammond, IN"
336,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
339,Dicabisagan,PH,81.54,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
343,Samarai,PG,82.71,broken clouds,-10.6167,150.6667,Nuli Sapi
345,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
356,Moerai,PF,76.17,overcast clouds,-22.4333,-151.3333,Le Manotel
358,Kutum,SD,80.85,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
359,Labuhan,ID,77.56,overcast clouds,-6.8844,112.2051,DoubleFAG
360,Ca Mau,VN,77.99,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
364,Fuerte Olimpo,PY,78.98,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
365,Nicolas Bravo,MX,84.29,overcast clouds,18.45,-88.9167,
369,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
374,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
380,Acambaro,MX,80.46,overcast clouds,20.0333,-100.7333,Hotel Y Restaurant Bar Familiar Aves del Paraiso
383,Alappuzha,IN,79.57,heavy intensity rain,9.49,76.3264,Panoramic Sea Resort
386,Sao Joao De Pirabas,BR,75.29,overcast clouds,-0.7747,-47.1772,POUSADA SOL E MAR
388,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
390,Luba,GQ,77.88,overcast clouds,3.4568,8.5547,
397,Wanning,CN,81.28,overcast clouds,18.8003,110.3967,Paradise Hotel
398,Bonfim,BR,79.07,overcast clouds,3.0833,-59.95,
403,Placido De Castro,BR,78.67,overcast clouds,-10.3353,-67.1856,Hotel Carioca
404,Manadhoo,MV,81.81,overcast clouds,5.7667,73.3833,Bon Abri maldives
409,Sabang,ID,82.51,overcast clouds,5.8933,95.3214,Hotel Citra
419,Villaba,PH,80.83,overcast clouds,11.2135,124.3921,Burabud Veloso Eco Farm
424,Bela,IN,86.94,broken clouds,25.9333,81.9833,Raj Bhawan
426,Kamakwie,SL,76.1,overcast clouds,9.5,-12.2333,White House Hotel
427,Sayhat,SA,84.4,clear sky,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
430,Trairi,BR,75.61,overcast clouds,-3.2778,-39.2689,janelas do mar
434,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
436,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
437,Manzanillo,CU,84.47,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
442,Monrovia,LR,78.91,overcast clouds,6.3005,-10.7969,Sunset Inn
443,Silver City,US,86.67,few clouds,32.7701,-108.2803,Copper Manor Motel
444,Norfolk,US,75.47,overcast clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
452,Haapiti,PF,81.72,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
455,Lorengau,PG,83.03,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
457,Kirakira,SB,82.33,broken clouds,-10.4544,161.9205,SanBiz Lodge
468,Lazaro Cardenas,MX,83.28,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
472,Rock Sound,BS,81.25,broken clouds,24.9,-76.2,Pink Corral Bay Property
474,Birao,CF,79.21,broken clouds,10.2849,22.7882,
475,Acarau,BR,77.16,scattered clouds,-2.8856,-40.12,castelo pizzaria
477,Veraval,IN,81.25,few clouds,20.9,70.3667,Lords Inn Somnath
478,Siniscola,IT,78.35,scattered clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
481,Nha Trang,VN,78.8,few clouds,12.25,109.1833,Hanoi Golden Hotel
482,Vung Tau,VN,80.94,scattered clouds,10.346,107.0843,Seaside Resort
489,Bara,NG,78.58,scattered clouds,10.3744,10.7288,
490,Bima,ID,76.26,broken clouds,-8.4667,118.7167,Lambitu Hotel
491,Portobelo,PA,80.96,overcast clouds,9.55,-79.65,Scuba Portobelo
492,Begamganj,IN,89.74,few clouds,23.6,78.3333,Sandeep Sahu
494,Cabo Rojo,PR,87.53,broken clouds,18.0866,-67.1457,Hotel Perichi's
496,Rudbar,AF,76.8,clear sky,30.15,62.6,
497,San Ramon,US,82.65,scattered clouds,37.7799,-121.978,San Ramon Marriott
499,Sola,VU,80.4,broken clouds,-13.8833,167.55,Leumerus Bungalows
506,Banjar,ID,77.47,overcast clouds,-8.19,114.9675,The Hamsa Resort
512,San Clemente,US,86.76,few clouds,33.427,-117.612,Casablanca Inn
517,Chongqing,CN,75.09,clear sky,29.5628,106.5528,Somerset Jiefangbei Chongqing Hotel
521,Wahiawa,US,82.15,few clouds,21.5028,-158.0236,The Inn At Schofield
522,Rockport,US,89.64,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
524,Marsh Harbour,BS,80.11,clear sky,26.5412,-77.0636,Abaco Beach Resort
525,Pyay,MM,78.55,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
527,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
529,Ixtapa,MX,79.23,clear sky,20.7,-105.2,hotel la terminal
532,Manoel Urbano,BR,77.49,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
539,Rancho Palos Verdes,US,81.0,few clouds,33.7445,-118.387,Terranea Resort
542,Tayu,ID,76.89,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
543,Kaduqli,SD,86.85,scattered clouds,11.0167,29.7167,Nussyba
547,Santa Rosa,PH,87.03,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
548,Tomatlan,MX,83.14,clear sky,19.9333,-105.25,El Salvial
550,Andros Town,BS,80.56,scattered clouds,24.7,-77.7667,Hanks place
560,Ewa Beach,US,86.02,clear sky,21.3156,-158.0072,Base Lodging
562,Sciacca,IT,79.65,few clouds,37.5082,13.0881,Hotel Aliai
564,Lahaina,US,84.2,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
565,Huicheng,CN,81.3,overcast clouds,23.0385,116.2899,Huilai Hotel
570,Dingli,MT,75.36,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
571,Tawau,MY,75.33,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
576,Jalingo,NG,75.11,broken clouds,8.8833,11.3667,Debright Motel
580,Marion,US,83.41,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
583,Fredericksburg,US,79.92,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
584,Isangel,VU,78.4,few clouds,-19.55,169.2667,Tanna Lodge
586,Bandarbeyla,SO,78.94,broken clouds,9.4942,50.8122,JABIR HOTEL
591,Miri,MY,80.74,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
595,Portmore,JM,88.02,few clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
596,Morant Bay,JM,85.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
606,Dosso,NE,88.66,broken clouds,13.049,3.1937,Hotel Toubal
608,Los Angeles,US,89.62,clear sky,34.0522,-118.2437,Kawada Hotel
610,Madera,US,89.01,scattered clouds,37.1666,-119.8343,
